"Genotype","Treatment","PIT_BT","PIT_T","PIT_T_SE","NOPPT_BT","NOPPT_T","NOPPT_T_SE","Grain Yield","Grain Yield_SE"
"Jamestown","Absent",0.133039715823636,0.0268680860050886,0.00137373326927333,0.244717863341988,0.0229196037062409,0.0011252414057589,1.79736231864692,0.0644978575487666
"Jamestown","Present",0.0444804944914193,0.0186578908400649,0.00137373326927334,0.0560636890899687,0.0155609042764136,0.0011252414057589,2.17046315133281,0.0654953508189444
"LA03136E71","Absent",0.0395146864554472,0.0177797640610111,0.00139632808376735,0.0654983875878596,0.0163359460814389,0.00114369681373887,2.10291190245219,0.0644978575487666
"LA03136E71","Present",0.0131050352004245,0.00995122962777729,0.00137373326927333,0.0122067225851807,0.00812612101182284,0.0011252414057589,2.22680781848698,0.0644978575487666
"NC11546-14","Absent",0.0103345085767739,0.00844985435699846,0.00137373326927334,0.0113551155599055,0.00779331652473807,0.0011252414057589,3.70033774046045,0.0644978575487666
"NC11546-14","Present",0.00716079479299275,0.00637357326725411,0.00141856302149442,0.00679984845386206,0.00557246330025456,0.00116185918116961,3.73836397702432,0.0644978575487663
"Shirley","Absent",0.225616333946386,0.0308451842053109,0.00137373326927334,0.441757845896625,0.0258725225651161,0.0011252414057589,1.76791089901209,0.0644978575487665
"Shirley","Present",0.0858863304651817,0.0235780825692159,0.00139632805011658,0.132160811689238,0.0198404365722238,0.00114369689006569,2.50924041358477,0.0644978575487663
"SS8641","Absent",0.168542540048535,0.0286486532862433,0.00137373326927333,0.338375575234671,0.024539607797113,0.0011252414057589,2.41720950585219,0.0663477154794608
"SS8641","Present",0.0887309540083809,0.0238227636952438,0.00137373326927333,0.140756103701093,0.0201552709515098,0.0011252414057589,2.6887678231328,0.0644978575487665
"USG3404","Absent",0.159860863619952,0.0282504754869337,0.00137373326927333,0.312481567945736,0.0241415999522491,0.0011252414057589,1.22115481634039,0.0644978575487665
"USG3404","Present",0.0940154919926373,0.0242573160451574,0.00137373326927333,0.166914866450787,0.0210070922924487,0.0011252414057589,1.67972208256234,0.0644978575487666
