"Combination 1","Combination 2","Trait","Location","Estimate","SE","DF","T-Ratio","P(>T)"
"Jamestown Absent","Jamestown Present","PIT_T","HUG21",0.0174452353512522,0.00364724815485155,54.9999999999998,4.78312267511787,0.000754767479963836
"LA03136E71 Absent","LA03136E71 Present","PIT_T","HUG21",0.0182277026897007,0.00364724815485155,55.0000000000002,4.99765903382646,0.000361763150516836
"(NC11546-14 Absent)","(NC11546-14 Present)","PIT_T","HUG21",0.00470362896897585,0.00364724815485155,55.0000000000002,1.28963776778367,0.977103287870458
"Shirley Absent","Shirley Present","PIT_T","HUG21",0.0130500743258172,0.00364724815485155,55.0000000000002,3.57806043673175,0.0320370950093894
"SS8641 Absent","SS8641 Present","PIT_T","HUG21",0.0110165271259814,0.00364724815485155,55,3.02050385886884,0.130264440660098
"USG3404 Absent","USG3404 Present","PIT_T","HUG21",0.00614119520968101,0.00364724815485155,55.0000000000002,1.68378869463873,0.867738444387053
"Jamestown Absent","Jamestown Present","PIT_T","HUG22",0.0071650776736273,0.00352636045974804,75.0021697203072,2.03186195949442,0.670695626858132
"LA03136E71 Absent","LA03136E71 Present","PIT_T","HUG22",0.00866420760498166,0.00352636045974805,75.0021697203053,2.45698297263709,0.382621985253323
"(NC11546-14 Absent)","(NC11546-14 Present)","PIT_T","HUG22",-0.000508252268033208,0.00365913009834976,75.3997763585086,-0.138899753321815,0.999999999996926
"Shirley Absent","Shirley Present","PIT_T","HUG22",0.00302343935806546,0.00365913009834976,75.3997763585094,0.826272714224895,0.999522185457677
"SS8641 Absent","SS8641 Present","PIT_T","HUG22",0.00575261797181125,0.00352636045974805,75.0021697203049,1.63131875980207,0.891771991495411
"USG3404 Absent","USG3404 Present","PIT_T","HUG22",0.00785999194271964,0.00352636045974805,75.0021697203049,2.22892470365359,0.534766258971768
"Jamestown Absent","Jamestown Present","PIT_T","CUN22",0.00371723446683157,0.00374714453766609,76.0060913705588,0.992017903090243,0.997461758392947
"LA03136E71 Absent","LA03136E71 Present","PIT_T","CUN22",-0.00273055607569953,0.00388496473709466,76.8406335246192,-0.702852216296191,0.999900199022733
"(NC11546-14 Absent)","(NC11546-14 Present)","PIT_T","CUN22",0.000292499747715175,0.00374714453766609,76.006091370558,0.0780593715494516,1
